Category,Board,Qty,Manufacturer,MPN,Description,UnitPrice,Currency,Supplier,ExtPrice,BuyURL,Notes
JFET/BiFET Input Op Amp,Input/Output,1,Texas Instruments,OPA1644AIDR,"Quad JFET-input audio op amp, SOIC-14, +/-18V capable",4.65,USD,DigiKey,4.65,https://www.digikey.com/en/products/detail/texas-instruments/OPA1644AIDR/2353575,Current rev-A choice for the JFET or BiFET preferred balanced input front-end; DigiKey still shows the part as not normally stocked, so `2x OPA1642AIDR` remains the approved immediate-order alternate
Op Amp,Output + Tank Driver/Recovery,7,Texas Instruments,OPA1656IDR,"Dual audio op amp, SOIC-8, 36V total supply / +/-18V capable",2.99,USD,DigiKey,20.93,https://www.digikey.com/en/products/detail/texas-instruments/OPA1656IDR/10715414,Core high-headroom audio device for line driver send recovery and output stages; rev-A now uses four channels for fully active stereo balanced output
Op Amp,Routing + Filter + Feedback,4,Texas Instruments,OPA1679IDR,"Quad audio op amp, SOIC-14, 36V total supply / +/-18V capable",1.52,USD,DigiKey,6.08,https://www.digikey.com/en/products/detail/texas-instruments/OPA1679IDR/7034963,Use for routing filter crossfade and feedback sections; current DigiKey status is backorderable so `OPA1664AIDR` is the preferred live alternate
Primary Send NPN,Tank Driver/Recovery,2,STMicroelectronics,BD139-16,"NPN transistor, 80V 1.5A, TO-126",1.44,USD,DigiKey,2.88,https://www.digikey.com/en/products/detail/stmicroelectronics/BD139-16/2529325,Current preferred direct-coupled primary tank driver transistor
Primary Send PNP,Tank Driver/Recovery,2,STMicroelectronics,BD140-16,"PNP transistor, 80V 1.5A, TO-126",1.57,USD,DigiKey,3.14,https://www.digikey.com/en/products/detail/stmicroelectronics/BD140-16/3945995,Complementary partner to BD139-16 for the preferred primary tank send stage
Signal Relay,Ext Tank Routing,4,Omron Electronics,G6K-2F-Y-DC5,"DPDT low-signal relay, SMD, 5V coil",4.89,USD,Mouser,19.56,https://www.mouser.com/ProductDetail/Omron-Electronics/G6K-2F-Y-DC5?qs=SXIVkn%252Bm38kNKs%252BIzeJTSg%3D%3D,SMD audio-path switching for Off/Series/Parallel routing
External Wall Adapter Candidate,Power,1,Jameco ReliaPro,DDU300050E9340,"AC/DC wall adapter candidate, +30 VDC single output, 500 mA, 15 W, 5.5 x 2.5 mm barrel",7.00,USD,Jameco,7.00,https://www.jameco.com/z/DDU300050E9340-Jameco-ReliaPro-AC-to-DC-Wall-Adapter-Transformer-Single-Output-30-Volt-500mA-15-Watt_199523.html,Current `2026-06-28` live Jameco page describes the SKU as an unregulated linear wall adapter; do not use without bench verification or substitution with a confirmed regulated +30VDC SMPS
On-Board Isolated DC-DC,Power,1,Mornsun,URB2415YMD-10WR3,"Isolated DC-DC module, 18-36V in, +/-15V at 10W out",9.27,USD,DigiKey,9.27,https://www.digikey.com/en/products/detail/mornsun-america-llc/URB2415YMD-10WR3/13160913,Generates +/-15VA from the +30V external adapter; RECOM REC10-2415DZ/H1/A/M and XP JTD1024S15 are approved alternates per supply-watch
On-Board +5V Regulator,Power,1,RECOM,R-78E5.0-0.5,"Switching regulator module, 7-28V in, +5V/500mA out, 7805 pinout",3.37,USD,DigiKey,3.37,https://www.digikey.com/en/products/detail/recom-power/R-78E5-0-0-5/2834904,Generates +5VAUX from +15VA; no heatsink required at this current
DC Input Jack,Power,1,Same Sky,PJ-005B,"Panel-mount DC barrel jack, 5.5 mm OD / 2.5 mm ID",3.17,USD,DigiKey,3.17,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/PJ-005B/275425,Service-endcap DC input matched to the current Jameco adapter barrel size snapshot
Optional Relay Driver,Control,1,Texas Instruments,ULN2003ADR,"7-channel Darlington array, SOIC-16",0.91,USD,DigiKey,0.91,https://www.digikey.com/en/products/detail/texas-instruments/ULN2003ADR/277011,Reserve-only part under the current frozen rev-A harness; do not populate unless a later revision moves real coil-drive ownership to the control backplane
Fallback Primary Driver,Tank Driver/Recovery,2,Texas Instruments,LM386MX-1/NOPB,"Mono audio amplifier, SOIC-8, fallback single-supply primary tank send driver",0.95,USD,DigiKey,1.90,https://www.digikey.com/en/products/detail/texas-instruments/LM386MX-1-NOPB/212680,Retained only as a fallback reference if the preferred direct-coupled stage proves impractical
