"Reference","Value","Footprint"
"C321","47p","Capacitor_SMD:C_0805_2012Metric"
"C322","47p","Capacitor_SMD:C_0805_2012Metric"
"C391","100n","Capacitor_SMD:C_0805_2012Metric"
"C392","100n","Capacitor_SMD:C_0805_2012Metric"
"C393","22u","Capacitor_SMD:C_1210_3225Metric"
"C394","22u","Capacitor_SMD:C_1210_3225Metric"
"D301","1N4148W","Diode_SMD:D_SOD-123"
"K301","G5V-2 12VDC","Relay_THT:Relay_DPDT_Omron_G5V-2"
"P301","P301","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"P302","P302","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"P303","P303","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"P304","P304","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"P305","P305","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical"
"P306","JXFD-PWR B3P-VH-B","Connector_JST:JST_VH_B3P-VH_1x03_P3.96mm_Vertical"
"P307","P307","Connector_JST:JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical"
"R301","20k","Resistor_SMD:R_0805_2012Metric"
"R302","20k","Resistor_SMD:R_0805_2012Metric"
"R309","20k","Resistor_SMD:R_0805_2012Metric"
"R310","20k","Resistor_SMD:R_0805_2012Metric"
"R311","100","Resistor_SMD:R_0805_2012Metric"
"R312","100","Resistor_SMD:R_0805_2012Metric"
"R321","20k","Resistor_SMD:R_0805_2012Metric"
"R322","20k","Resistor_SMD:R_0805_2012Metric"
"R323","20k","Resistor_SMD:R_0805_2012Metric"
"R324","20k","Resistor_SMD:R_0805_2012Metric"
"R325","10k","Resistor_SMD:R_0805_2012Metric"
"R326","10k","Resistor_SMD:R_0805_2012Metric"
"R331","100","Resistor_SMD:R_0805_2012Metric"
"R332","100","Resistor_SMD:R_0805_2012Metric"
"R341","100","Resistor_SMD:R_0805_2012Metric"
"R342","100","Resistor_SMD:R_0805_2012Metric"
"R351","240","Resistor_SMD:R_1206_3216Metric"
"U301","OPA1679IDR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"
